Item,K,M1,M2,selectivity,errorRate,accuracy_avg,accuracy_lower,accuracy_higher,phases_avg,phases_lower,phases_higher,questions_avg,questions_lower,questions_higher
10000,15,10,10,0.05,0.2,0.9533333333333334,0.8666666666666667,1.0,154.3,78,219,3697.0,2888,4205,
10000,15,10,10,0.1,0.2,0.9866666666666667,0.9333333333333333,1.0,59.7,41,83,1611.5,1254,1881,
10000,15,10,10,0.05,0.3,0.6599999999999999,0.4,0.8666666666666667,101.4,48,157,2497.2,1189,3232,
10000,15,10,10,0.1,0.3,0.7933333333333332,0.6666666666666666,0.8666666666666667,74.8,44,139,1703.3,1339,2143,
10000,15,10,10,0.05,0.4,0.21333333333333332,0.13333333333333333,0.4,55.3,29,99,1114.5,870,1569,
10000,15,10,10,0.1,0.4,0.3466666666666667,0.06666666666666667,0.6,34.8,24,49,960.2,682,1356,
